global_it,train_loss,train_acc,test_acc
0, 1.27, 0.0625, 0.1060
250, 0.11, 0.9062, 0.9516
500, 0.04, 0.9844, 0.9735
750, 0.04, 0.9375, 0.9750
1000, 0.02, 1.0000, 0.9854
1250, 0.03, 0.9844, 0.9887
1500, 0.03, 0.9531, 0.9878
1750, 0.02, 0.9688, 0.9893
2000, 0.01, 1.0000, 0.9900
2250, 0.01, 1.0000, 0.9892
2500, 0.01, 1.0000, 0.9891
2750, 0.01, 1.0000, 0.9918
3000, 0.00, 1.0000, 0.9915
3250, 0.01, 1.0000, 0.9922
3500, 0.01, 1.0000, 0.9919
3750, 0.01, 1.0000, 0.9935
4000, 0.00, 1.0000, 0.9919
4250, 0.00, 1.0000, 0.9946
4500, 0.01, 1.0000, 0.9933
4750, 0.01, 1.0000, 0.9941
5000, 0.01, 1.0000, 0.9933
5250, 0.01, 0.9844, 0.9924
5500, 0.01, 1.0000, 0.9942
5750, 0.00, 1.0000, 0.9929
6000, 0.01, 1.0000, 0.9935
6250, 0.00, 1.0000, 0.9927
6500, 0.01, 0.9844, 0.9939
6750, 0.01, 1.0000, 0.9938
7000, 0.01, 0.9844, 0.9937
7250, 0.00, 1.0000, 0.9937
7500, 0.01, 0.9844, 0.9937
7750, 0.00, 1.0000, 0.9948
8000, 0.00, 1.0000, 0.9932
8250, 0.01, 1.0000, 0.9945
8500, 0.01, 0.9844, 0.9937
8750, 0.00, 1.0000, 0.9942
9000, 0.00, 1.0000, 0.9940
9250, 0.00, 1.0000, 0.9945
9500, 0.00, 1.0000, 0.9946
9750, 0.00, 1.0000, 0.9943
10000, 0.01, 1.0000, 0.9932
10250, 0.01, 0.9844, 0.9942
10500, 0.00, 1.0000, 0.9949
10750, 0.00, 1.0000, 0.9941
11000, 0.00, 1.0000, 0.9920
11250, 0.00, 1.0000, 0.9938
11500, 0.00, 1.0000, 0.9945
11750, 0.00, 1.0000, 0.9942
12000, 0.00, 1.0000, 0.9949
12250, 0.00, 1.0000, 0.9930
12500, 0.00, 1.0000, 0.9948
12750, 0.00, 1.0000, 0.9951
13000, 0.00, 1.0000, 0.9944
13250, 0.00, 1.0000, 0.9945
13500, 0.00, 1.0000, 0.9938
13750, 0.00, 1.0000, 0.9936
14000, 0.00, 1.0000, 0.9933
